Country,Year,FDI Stocks - Inward (% of GDP)
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
Finland,2005,26.746669328237
Finland,2006,32.506873936668
Finland,2007,35.768743081785
Finland,2008,29.238555176467
Finland,2009,33.597682014555
Finland,2010,34.421328503155
Finland,2011,32.37476999419
Finland,2012,37.413700294751
Finland,2013,32.726369274085
Finland,2014,33.852244076598
Finland,2015,34.818054721257
Finland,2016,33.197643539168
Finland,2017,35.199495942805
Finland,2018,26.13958464614
Finland,2019,31.959742424403
Finland,2020,33.275413293656
Finland,2021,29.035070883006
Finland,2022,29.330614771133
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
France,2013,27.077384515106
France,2014,24.511040858695
France,2015,28.181273494766
France,2016,28.099118322962
France,2017,31.571484544408
France,2018,29.010115157077
France,2019,30.459117407932
France,2020,36.110988993458
France,2021,31.941427616904
France,2022,32.224105271087
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
France,2013,27.077384515106
France,2014,24.511040858695
France,2015,28.181273494766
France,2016,28.099118322962
France,2017,31.571484544408
France,2018,29.010115157077
France,2019,30.459117407932
France,2020,36.110988993458
France,2021,31.941427616904
France,2022,32.224105271087
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
France,2013,27.077384515106
France,2014,24.511040858695
France,2015,28.181273494766
France,2016,28.099118322962
France,2017,31.571484544408
France,2018,29.010115157077
France,2019,30.459117407932
France,2020,36.110988993458
France,2021,31.941427616904
France,2022,32.224105271087
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
France,2013,27.077384515106
France,2014,24.511040858695
France,2015,28.181273494766
France,2016,28.099118322962
France,2017,31.571484544408
France,2018,29.010115157077
France,2019,30.459117407932
France,2020,36.110988993458
France,2021,31.941427616904
France,2022,32.224105271087
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
France,2013,27.077384515106
France,2014,24.511040858695
France,2015,28.181273494766
France,2016,28.099118322962
France,2017,31.571484544408
France,2018,29.010115157077
France,2019,30.459117407932
France,2020,36.110988993458
France,2021,31.941427616904
France,2022,32.224105271087
France,2005,16.906942120884
France,2006,21.27799371058
France,2007,23.439446825251
France,2008,19.214383007219
France,2009,23.994506565651
France,2010,23.842993294606
France,2011,24.39070911653
France,2012,25.350985637987
