unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date,Sector
86503919,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:32,Unknown
86503923,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:32,Unknown
86503927,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:33,Unknown
86503931,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:33,Unknown
86503935,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:33,Unknown
86503939,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:34,Unknown
86503943,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:34,Unknown
86503947,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:34,Unknown
86503951,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:35,Unknown
86503955,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:35,Unknown
86503959,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:35,Unknown
86503963,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:36,Unknown
86503967,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:36,Unknown
86503971,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:36,Unknown
86503975,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:37,Unknown
86503979,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:37,Unknown
86503983,World Bank,Net ODA received (% of GNI),Net ODA received (% of GNI),2023,12,137,3,0.95407,1990,"3.96016524098612,2.88903747468842,3.15913340675828",2010,"6.71963768986165,5.77548594062857,6.26843592634683",2024-04-15 11:58:37,Unknown
80325411,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,35,3,0.99212,1990,"5.83668775158168,5.55555555555579,3.87337536996478",1995,"7.45884497828323,6.09780439121743,2.31869062176682",2024-04-06 11:35:57,Unknown
80325414,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,35,3,0.99212,1990,"5.83668775158168,5.55555555555579,3.87337536996478",1995,"7.45884497828323,6.09780439121743,2.31869062176682",2024-04-06 11:35:57,Unknown
80325417,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,35,3,0.99212,1990,"5.83668775158168,5.55555555555579,3.87337536996478",1995,"7.45884497828323,6.09780439121743,2.31869062176682",2024-04-06 11:35:57,Unknown
80325420,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,35,3,0.99212,1990,"5.83668775158168,5.55555555555579,3.87337536996478",1995,"7.45884497828323,6.09780439121743,2.31869062176682",2024-04-06 11:35:57,Unknown
80325423,World Bank,"Inflation, consumer prices (annual %)","Inflation, consumer prices (annual %)",2023,12,35,3,0.99212,1990,"5.83668775158168,5.55555555555579,3.87337536996478",1995,"7.45884497828323,6.09780439121743,2.31869062176682",2024-04-06 11:35:58,Unknown
